president,speech_date,year,title,url,source_file,word_count,self_count,collective_count,self_per_1k,collective_per_1k,self_share,speech_type,is_sotu_series,delivery_mode
Joe Biden,2021-06-01,2021,"June 1, 2021: Remarks Commemorating the 100th Anniversary of the Tulsa Race Massacre",https://millercenter.org/the-presidency/presidential-speeches/june-1-2021-remarks-commemorating-100th-anniversary-tulsa-race,"Joe_Biden_2021-06-01T15:15:00-04:00_June_1,_2021:_Remarks_Commemorating_the_100th_Anniversary_of_the_Tulsa_Race_Massacre.json",4932,128,105,25.95,21.29,0.5494,Other,False,spoken_era
Joe Biden,2021-07-08,2021,"July 8, 2021: Speech on the Drawdown of US Forces in Afghanistan",https://millercenter.org/the-presidency/presidential-speeches/july-8-2021-speech-drawdown-us-forces-afghanistan,"Joe_Biden_2021-07-08T14:00:00-04:00_July_8,_2021:_Speech_on_the_Drawdown_of_US_Forces_in_Afghanistan.json",4131,81,121,19.61,29.29,0.401,Other,False,spoken_era
Joe Biden,2021-08-16,2021,"August 16, 2021: Remarks on Situation in Afghanistan",,"Joe_Biden_2021-08-16T15:00:00-04:00_August_16,_2021:_Remarks_on_Situation_in_Afghanistan.json",2405,67,113,27.86,46.99,0.3722,Other,False,spoken_era
Joe Biden,2021-08-26,2021,"August 26, 2021: Statement on Terror Attacks in Afghanistan",,"Joe_Biden_2021-08-26T17:24:00-04:00_August_26,_2021:_Statement_on_Terror_Attacks_in_Afghanistan.json",3559,97,115,27.25,32.31,0.4575,Other,False,spoken_era
Joe Biden,2021-09-09,2021,"September 9, 2021: Remarks on Fighting the COVID-⁠19 Pandemic",https://millercenter.org/the-presidency/presidential-speeches/september-9-2021-remarks-fighting-covid-19-pandemic,"Joe_Biden_2021-09-09T17:00:00-04:00_September_9,_2021:_Remarks_on_Fighting_the_COVID-⁠19_Pandemic.json",3508,82,104,23.38,29.65,0.4409,Other,False,spoken_era
Joe Biden,2021-11-15,2021,"November 15, 2021: Signing the Infrastructure Investment and Jobs Act",https://millercenter.org/the-presidency/presidential-speeches/november-15-2021-signing-infrastructure-investment-and-jobs,"Joe_Biden_2021-11-15T16:01:00-05:00_November_15,_2021:_Signing_the_Infrastructure_Investment_and_Jobs_Act.json",3180,100,97,31.45,30.5,0.5076,Other,False,spoken_era
Joe Biden,2022-01-06,2022,"January 6, 2022: Remarks on the Anniversary of the January 6th Assault on the US Capitol",,"Joe_Biden_2022-01-06T09:00:00-05:00_January_6,_2022:_Remarks_on_the_Anniversary_of_the_January_6th_Assault_on_the_US_Capitol.json",3775,44,105,11.66,27.81,0.2953,Other,False,spoken_era
Joe Biden,2022-02-24,2022,"February 24, 2022: Remarks on the Russian Invasion of Ukraine",https://millercenter.org/the-presidency/presidential-speeches/february-24-2022-remarks-russian-invasion-ukraine,"Joe_Biden_2022-02-24T13:45:00-05:00_February_24,_2022:_Remarks_on_the_Russian_Invasion_of_Ukraine.json",3529,49,109,13.88,30.89,0.3101,Other,False,spoken_era
Joe Biden,2022-03-01,2022,"March 1, 2022: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/march-1-2022-state-union-address,"Joe_Biden_2022-03-01T21:00:00-05:00_March_1,_2022:_State_of_the_Union_Address.json",6499,107,250,16.46,38.47,0.2997,State of the Union,True,spoken_era
Joe Biden,2022-03-26,2022,"March 26, 2022: Remarks in Support of the People of Ukraine",https://millercenter.org/the-presidency/presidential-speeches/march-26-2022-remarks-support-people-ukraine,"Joe_Biden_2022-03-26T18:00:00-04:00_March_26,_2022:_Remarks_in_Support_of_the_People_of_Ukraine.json",3422,49,60,14.32,17.53,0.4495,Other,False,spoken_era
Joe Biden,2022-05-24,2022,"May 24, 2022: Remarks on School Shooting in Uvalde, Texas",https://millercenter.org/the-presidency/presidential-speeches/may-24-2022-remarks-school-shooting-uvalde-texas,"Joe_Biden_2022-05-24T20:45:00-04:00_May_24,_2022:_Remarks_on_School_Shooting_in_Uvalde,_Texas.json",815,20,24,24.54,29.45,0.4545,Other,False,spoken_era
Joe Biden,2022-09-01,2022,"September 1, 2022: Remarks on the Continued Battle for the Soul of the Nation",https://millercenter.org/the-presidency/presidential-speeches/september-1-2022-remarks-continued-battle-soul-nation,"Joe_Biden_2022-09-01T20:00:00-04:00_September_1,_2022:_Remarks_on_the_Continued_Battle_for_the_Soul_of_the_Nation.json",2954,62,163,20.99,55.18,0.2756,Other,False,spoken_era
Joe Biden,2022-09-21,2022,"September 21, 2022: Speech before the 77th Session of the United Nations General Assembly",https://millercenter.org/the-presidency/presidential-speeches/september-21-2022-speech-77th-session-united-nations-general,"Joe_Biden_2022-09-21T11:00:00-04:00_September_21,_2022:_Speech_before_the_77th_Session_of_the_United_Nations_General_Assembly.json",3700,28,129,7.57,34.86,0.1783,Other,False,spoken_era
Joe Biden,2023-02-07,2023,"February 7, 2023: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/february-7-2023-state-union-address,"Joe_Biden_2023-02-07T21:00:00-05:00_February_7,_2023:_State_of_the_Union_Address.json",7170,109,286,15.2,39.89,0.2759,State of the Union,True,spoken_era
Joe Biden,2023-02-21,2023,"February 21, 2023: Remarks on the One-Year Anniversary of the Ukraine War",https://millercenter.org/the-presidency/presidential-speeches/february-21-2023-remarks-one-year-anniversary-ukraine-war,"Joe_Biden_2023-02-21T20:00:00-05:00_February_21,_2023:_Remarks_on_the_One-Year_Anniversary_of_the_Ukraine_War.json",2699,25,76,9.26,28.16,0.2475,Other,False,spoken_era
Joe Biden,2023-10-20,2023,"October 20, 2023: Remarks on the US Response in Support of Israel and Ukraine",https://millercenter.org/the-presidency/presidential-speeches/october-20-2023-remarks-us-response-support-israel-and-ukraine,"Joe_Biden_2023-10-20T20:00:00-04:00_October_20,_2023:_Remarks_on_the_US_Response_in_Support_of_Israel_and_Ukraine.json",2346,49,91,20.89,38.79,0.35,Other,False,spoken_era
Joe Biden,2024-01-05,2024,"January 5, 2024: Speech on the Third Anniversary of the January 6th Attack",https://millercenter.org/the-presidency/presidential-speeches/january-5-2024-speech-third-anniversary-january-6th-attack,"Joe_Biden_2024-01-05T15:00:00-05:00_January_5,_2024:_Speech_on_the_Third_Anniversary_of_the_January_6th_Attack.json",4062,73,113,17.97,27.82,0.3925,Other,False,spoken_era
Joe Biden,2024-03-07,2024,"March 7, 2024: State of Union Address",https://millercenter.org/the-presidency/presidential-speeches/march-7-2024-state-union-address,"Joe_Biden_2024-03-07T21:00:00-05:00_March_7,_2024:_State_of_Union_Address.json",8048,273,157,33.92,19.51,0.6349,Other,False,spoken_era
Joe Biden,2024-05-31,2024,"May 31, 2024: Remarks on the Middle East",https://millercenter.org/the-presidency/presidential-speeches/may-31-2024-remarks-middle-east,"Joe_Biden_2024-05-31T13:00:00-04:00_May_31,_2024:_Remarks_on_the_Middle_East.json",1872,19,16,10.15,8.55,0.5429,Other,False,spoken_era
Joe Biden,2024-07-14,2024,"July 14, 2024: Remarks after the Attempted Assassination of Former President Trump",https://millercenter.org/the-presidency/presidential-speeches/july-14-2024-remarks-after-attempted-assassination-former,"Joe_Biden_2024-07-14T20:00:00-04:00_July_14,_2024:_Remarks_after_the_Attempted_Assassination_of_Former_President_Trump.json",1037,22,72,21.22,69.43,0.234,Other,False,spoken_era
